;MP3 Player
Resolução da câmera;Traseira 13MP e Frontal 8MP
Cor;Branco
Grava vídeo;Sim
Memória interna;16GB Total sendo uma parte usada para o sistema operacional e aplicativos pré-instalados
Características Gerais;- Tela HD de 5,3” com Tecnologia In-cell - Desempenho Octa-Core - Câmera Principal de 13MP com flash LED - Câmera frontal de 8MP para Selfie com Quick Selfie 2.0 e Virtual Flash* - Bateria Removível de 2.300 mAh - A melhor experiência Dual Chip - Velocidade 4G *Virtual Flash é uma tecnologia que depende apenas que o usuário aperte o botão “Flash” com a câmera frontal ativada, para a tela exibir um quadro branco de alto brilho, simulando um flash e iluminando o rosto a ser fotografado.
Quadriband GSM;Sim
Frequências;GSM 850/900/1800/1900 MHz
Câmera traseira;Sim
Câmera frontal;Sim
Tipo do Chip;Nano SIM
Dual Chip;sim
Conectividade;USB, Bluetooth 4.0, Wi-Fi 802.11 b/g/n
Resolução do visor/display (pixels);720x1280 (HD)
Tamanho do visor (cm);13,4
Conteúdo da Embalagem;- Aparelho Smartphone LG K10 TV - Branco - Bateria - Fone de Ouvido - Carregador de Viagem - Manual - Adaptador de TV LG
Garantia;12 Meses
Observações;1.Para utilizar este celular é preciso ter um chip (vendido separadamente). Este aparelho está habilitado para que funcione com operadoras nacionais com Tecnologia GSM (Vivo, Oi, Tim, Claro, Brasil Telecom, CTBC, Sercomtel, Telemig). 2.Este é um celular Dual Chip, ou seja, funciona com dois chips no mesmo aparelho. 3.O desempenho da bateria pode variar dependendo de diversos fatores como: configuração do celular, da rede, potência do sinal e temperatura de operação. 4. A capacidade de memória interna ROM ( Read-Only Memory ) disponível ao usuário é menor que a capacidade especificada (16GB), devido ao sistema operacional e às aplicações padrões que já vem instaladas no aparelho, ocupando parte da memória. A capacidade disponível pode variar ao atualizar o aparelho. ATENÇÃO: A rede 4G no Brasil é limitada. Consulte uma operadora de telefonia móvel para obter informações de pacotes de dados e cidades de cobertura.
Altura;14,66 Centimetros
Largura;7,48 Centimetros
Profundidade;8,80 Milimetros
Peso;153,00 Gramas
Telefone:;Para todo o Brasil exceto capitais e regiões metropolitanas: 0800 707 5454 Para capitais e regiões metropolitanas: 4004 5400
E-mail/Site:;www.lge.com/br/index.jsp



Nome Produto: ;Smartphone Sony Xperia Z5 Premium Cromado com 32GB, Tela 5.5&quot;, Camera 23MP, Android 5.1
Preco: ;2.449,90
RAM;3 GB
Sistema Operacional;ANDROID
Slot para cartão;Slot de expansão cartão microSD? até up to 200 GB
MP3 player;NÃO
Bluetooth;SIM
Bluetooth Estéreo (ouça suas músicas em um dispositivo Bluetooth);SIM
Wi-Fi;SIM
Processador;Qualcomm Snapdragon 810 Octa 2 GHz / 1.5 GHz
Som;BLUETOOTH ESTEREO
Grava vídeo;SIM
Memória interna;32 GB
Câmera traseira;SIM
Câmera frontal;SIM
Conteúdo da Embalagem;1 Xperia? Z5 Premium1 Carregador1 Cabo de dados1 Fone de Ouvido
Garantia;12 meses



Nome Produto: ;Smartphone Motorola Moto G4 Plus XT1640 Bambu com 32GB, Tela de 5.5'', Dual Chip, Android 6.0, 4G, Câmera 16MP, Processador Octa-Core e 2GB de RAM
Preco: ;999,00
RAM;2GB
Sistema Operacional;Android 6.0 Marshmallow
Tipo;Barra
Tecnologia;GSM
;3G
;4G
Slot para cartão;MicroSD até 128GB
Cartão incluso;Não
Rádio FM;Sim
MP3 player;Sim
Bluetooth;Sim
Bluetooth Estéreo (ouça suas músicas em um dispositivo Bluetooth);Não
Wi-Fi;Sim
Suporte a GPS;Sim
Mensagens;SMS
;MMS
;E-mail
Processador;Octa-core Qualcomm Snapdragon (4 x 1.5 GHz + 4 x 1.2 GHz )
Som;Rádio FM
;MP3 Player
Resolução da câmera;
Grava vídeo;Sim
Memória interna;32 Total sendo uma parte usada para o sistema operacional e aplicativos pré-instalados (Software e aplicativos pré-instalados usam uma quantidade considerável de espaço de memória interna.)
Características Gerais;- Câmera de 16 MP com Flash LED duplo, foco laser e PDAF - Carregamento ultrarápido TurboPower™ - Sensor de impressão digital para desbloqueio rápido - Processador octa-core com 2GB de RAM - Experiência Android™ puro - Velocidade 4G - Resistente a respingos d'água*. - Bateria que dura o dia todo***
Quadriband GSM;Sim
Câmera traseira;Sim
Frequências;GSM 850/900/1800/1900 MHz
Câmera frontal;Sim
Tipo do Chip;Micro SIM
Dual Chip;sim
Conectividade;Bluetooth 4.1, Wi-Fi 802.11 a/b/g/n
Resolução do visor/display (pixels);1920x1080 Full HD
Tamanho do visor (cm);13,9
Conteúdo da Embalagem;- Smartphone Moto G4 Plus XT1640 - Bambu - Kit de manuais - Fone de ouvido - Cabo para sincronismo - Carregador de parede turbopower™
Garantia;12 meses
