Peso líq. aproximado do produto (kg): ;133g
Garantia do Fornecedor: ;12 Meses
Referência do modelo: ;LGK580DSF.ABRAGD
Fornecedor: ;LG
SAC: ;4004-5400 ou 0800 707-5454



Nome Produto: ;Smartphone Samsung Galaxy J3 Dual Chip Android 5.1 Tela 5'' 8GB 4G Wi-Fi Câmera 8MP - Dourado
Preco: ;R$ 629,99
Código: ;125666691
Código de barras: ;7892509085052, 7892509085335
Marca: ;Samsung
Modelo: ;SM-J320M/DS
Cor: ;Dourado
Tipo de Chip: ;Micro Chip
Quantidade de Chips: ;Dual Chip
Memória Interna: ;8GB
Memória RAM: ;1.5GB
Processador: ;Quad-Core 1.5GHz
Sistema Operacional: ;Android
Versão: ;5.1 Lollipop
Tipo de tela: ;Super AMOLED
Tamanho do Display: ;5"
Resolução: ;1280x720(HD)
Câmera traseira: ;8MP
Câmera frontal: ;5MP
Filmadora: ;HD
Expansivo até: ;MicroSD até 64GB
Alimentação/Tipo de bateria: ;2600 mAh, Ions de Litio
Banda: ;GSM: 850/900/1800/1900
Conectividade: ;Wi-Fi, 4G
TV: ;Não
Recursos de Chamada: ;Viva Voz, Espera de Chamada
Outros Recursos: ;Design elegante com tela de 5" HD Super Amoled; ótimo para selfies; câmera frontal de 5MP e traseira de 8MP; processador Quad-Core 1.5GHz ágil e potente em qualquer situação
Conteúdo da Embalagem: ;Aparelho; carregador; cabo USB
Dimensões aproximadas do produto - cm (AxLxP): ;14,2x7,1x0,7cm
Peso líq. aproximado do produto (kg): ;138g
Garantia do Fornecedor: ;12 meses
Referência do modelo: ;SM-J320M/DS
Fornecedor: ;Samsung Eletronica da Amazonia
SAC: ;São Paulo: 4004-0000; outros estados: 0800 124 421



Nome Produto: ;Smartphone Motorola Moto G4 Plus Dual Chip Android 6.0 Tela 5.5'' 32GB Câmera 16MP - Preto
Preco: ;R$ 1.099,00
Código: ;127115104
Código de barras: ;7892597338788
Marca: ;Motorola
Modelo: ;Moto G4 Plus
Cor: ;Preto
Tipo de Chip: ;Micro Chip
Quantidade de Chips: ;Dual Chip
Memória Interna: ;32GB
Memória RAM: ;2GB
Processador: ;Qualcomm® Snapdragon¿ 617 Mobile Platform Octa-core 4x1.5 GHz
Sistema Operacional: ;Android
Versão: ;6.0 Marshmallow
Tipo de tela: ;LCD TFT
Tamanho do Display: ;5.5"
Resolução: ;1920x1080
Câmera traseira: ;16MP
Câmera frontal: ;5MP
Filmadora: ;Full HD
Expansivo até: ;MicroSD até 128GB
Alimentação/Tipo de bateria: ;3000 mAh lithium
Banda: ;GSM 850/900/1800/1900 MHz; WCDMA 850/900/1900/2100 MHz; LTE 700(B28)/850(B5)/1800(B3)/2600(B7) MHz
Conectividade: ;Wi-Fi, 4G
TV: ;Não
Recursos de Chamada: ;Viva Voz, Espera de Chamada
Conteúdo da Embalagem: ;1 telefone preto 32GB com capa lava; 1 kit de manuais; 1 fone de ouvido estéreo; 1 cabo para sincronismo; 1 carregador de parede turbopower; 1 capa traseira preta
Dimensões aproximadas do produto - cm (AxLxP): ;15,2x7,6x0,9cm
Peso líq. aproximado do produto (kg): ;157g
Garantia do Fornecedor: ;12 meses
Referência do modelo: ;XT1640
Fornecedor: ;Motorola
SAC: ;11 4002-1244 (capitais e regiões metropolitanas) ou 0800 773 12 44 (demais localidades)



Nome Produto: ;Smartphone Moto G 5 Dual Chip Android 7.0 Tela 5" 32GB 4G Câmera 13MP - Platinum
Preco: ;R$ 999,00
Código: ;131349704
Código de barras: ;7892597339754
Marca: ;Motorola
Modelo: ;XT1672
Cor: ;Platina
Tipo de Chip: ;Nano Chip
Quantidade de Chips: ;Dual Chip
Memória Interna: ;32GB
Memória RAM: ;2GB
Processador: ;Qualcomm® Snapdragon¿ 430 Mobile Platform Octa-core 1.4 GHz
Sistema Operacional: ;Android
Versão: ;Nougat 7.0
Tipo de tela: ;LCD TFT
Tamanho do Display: ;5"
Resolução: ;Full HD - 1920x1080
Câmera traseira: ;13MP
Câmera frontal: ;5MP
Filmadora: ;Full HD
Expansivo até: ;MicroSD até 128GB
Alimentação/Tipo de bateria: ;2800 mAh
Banda: ;GSM 850/900/1800/1900 MHz; WCDMA 850/900/2100 MHz; LTE B1 (2100), B3 (1800), B5 (850), B7 (2600), B28 (700)
Conectividade: ;Wi-Fi, 3G, 4G
NFC: ;Não
TV: ;Não
Recursos de Chamada: ;Viva Voz, Espera de Chamada
Conteúdo da Embalagem: ;1 Telefone 32GB, 1 kit de manuais, 1 cabo de sincronização, 1 fone de ouvido estéreo, 1 carregador de parede, 1 capa traseira Platinum e 1 bateria
Dimensões aproximadas do produto - cm (AxLxP): ;14,4x7,2x0,8cm
Peso líq. aproximado do produto (kg): ;151g
Garantia do Fornecedor: ;12 Meses
Referência do modelo: ;XT1672
Fornecedor: ;Motorola
SAC: ;0800 773-1244



Nome Produto: ;Smartphone LG X Cam Dual Chip Android 6.0 Marshmallow Tela 5.2" 16GB 4G Câmera 13MP - Titânio
Preco: ;R$ 771,59
Código: ;129072241
Código de barras: ;7893299907203
Marca: ;LG
Modelo: ;LG X Cam
Cor: ;Titânio
Tipo de Chip: ;Nano Chip
Quantidade de Chips: ;Dual Chip
Memória Interna: ;16GB
Memória RAM: ;2GB
Processador: ;Octa Core 1.1 GHz
Sistema Operacional: ;Android
Versão: ;6
Tipo de tela: ;LCD IPS
Tamanho do Display: ;5.2"
Resolução: ;13MP + 8MP (120o )
Câmera traseira: ;13MP
Câmera frontal: ;8MP
Filmadora: ;Full HD
Expansivo até: ;MicroSD até 2TB
Alimentação/Tipo de bateria: ;2.430 mAh
Banda: ;Download >150 Mbps; Upload 50 Mbps; EDGE Downlink e Uplink; GPRS Downlink e Uplink; Terminal 2G 850/900/1800/1900; Terminal 3G 2100/1900/1800/1700/850/900; Terminal 4G B28, B3, B2, B4, B7; Categoria 4G Cat 4
Conectividade: ;4G
TV: ;Não
Recursos de Chamada: ;Viva Voz
Conteúdo da Embalagem: ;1 Aparelho, 1 bateria, 1 fone de ouvido, 1 carregador de viagem, 1 manual e cabo de dados
Dimensões aproximadas do produto - cm (AxLxP): ;14,7x7,3x6cm
Peso líq. aproximado do produto (kg): ;133g
Garantia do Fornecedor: ;12 Meses
Referência do modelo: ;LGK580DSF.ABRATS
Fornecedor: ;LG
SAC: ;4004-5400 ou 0800 707-5454



Nome Produto: ;Smartphone LG K10 Dual Chip Android 6.0 Marshmallow Tela 5.3" 16GB 4G Câmera 13MP TV Digital - Branco
Preco: ;R$ 729,99
Código: ;125533530
Código de barras: ;7893299906138
Marca: ;LG
Modelo: ;LG K10 TV
Cor: ;Branco
Tipo de Chip: ;Nano Chip
Quantidade de Chips: ;Dual Chip
Memória Interna: ;16GB
Memória RAM: ;1GB
Processador: ;Octa Core 1.14Ghz - Mediatek MT6753
Sistema Operacional: ;Android
Versão: ;6.0 - Marshmallow
Tipo de tela: ;LCD IPS
Tamanho do Display: ;5.3"
Resolução: ;1280x720
Câmera traseira: ;13MP
Câmera frontal: ;8MP
Filmadora: ;Full HD
Expansivo até: ;MicroSD até 32GB
Alimentação/Tipo de bateria: ;2220 mAh
Banda: ;Quadri-Band
Conectividade: ;Wi-Fi, 4G
NFC: ;Não
TV: ;Digital
Recursos de Chamada: ;Viva Voz
Outros Recursos: ;SMS; MMS; Bluetooth 4.0; Conexão USB; Wi-Fi 802.11 b/g/n; Função Modem; Youtube; Google Maps; Hangouts; Play Books; Alarme; Calculadora; Cronômetro; Calendário; Horário Mundial; Visualização (Word, Excel, PPT, PDF); E-mail (POP3/IMAP4/SMTP/Exchange); A-GPS; Viva voz; Chamada em espera; Discagem rápida; Registro de chamadas; Chamada por comando de voz; Alerta vibratório; Gravador de voz; Sintonizador de TV
Conteúdo da Embalagem: ;1 Aparelho; 1 Bateria; 1 Fone de Ouvido; 1 Carregador de Viagem; 1 Manual; 1 adaptador de TV LG
Dimensões aproximadas do produto - cm (AxLxP): ;14,6x7,4x0,8cm
Peso líq. aproximado do produto (kg): ;153g
Garantia do Fornecedor: ;12 meses
Referência do modelo: ;LGK430TV.ABRAKU
Fornecedor: ;LG
SAC: ;0800 707 54 54  ou 4004-5400



Nome Produto: ;Smartphone Samsung Galaxy On 7 Dual Chip Android 5.1 Tela 5.5" 16GB 4G Câmera 13MP - Dourado
Preco: ;R$ 721,11
Código: ;129542661
Código de barras: ;7892509089692
Marca: ;Samsung
Modelo: ;SM-G600FY/16L
Cor: ;Dourado
Tipo de Chip: ;Micro Chip
Quantidade de Chips: ;Dual Chip
Memória Interna: ;16GB
Memória RAM: ;1.5GB
Processador: ;Quad-Core 1.2 GHz
Sistema Operacional: ;Android
Versão: ;Android 5.1
Tipo de tela: ;LCD TFT
Tamanho do Display: ;5.5"
Resolução: ;1280x720 (HD)
Câmera traseira: ;13MP
Câmera frontal: ;5MP
Filmadora: ;HD
Expansivo até: ;MicroSD até 128GB
Alimentação/Tipo de bateria: ;Bateria Ions de Lítio 3000 mAh
Banda: ;GSM GSM850,GSM900,DCS1800,PCS1900 2G EDGE/GPRS 3G B1(2100),B2(1900),B5(850),B8(900) 3G Downlink HSPA+ 42Mbps 3G Uplink 5.76Mbps 4G B1(2100), B3(1800), B5(850), B7(2600), B8(900), B20(800) LTE LTE 150/50
Conectividade: ;Wi-Fi, 3G, 4G
NFC: ;Não
TV: ;Não
Recursos de Chamada: ;Espera de Chamada, Viva Voz
Outros Recursos: ;1. Tela de 5.5"" HD 2. 16GB de memória 3. Câmera Traseira de 13MP e Frontal de 5MP
Conteúdo da Embalagem: ;1 Aparelho, 1 Carregador, 1 Cabo USB, 1 Fone de Ouvido
Dimensões aproximadas do produto - cm (AxLxP): ;15,1x7,7x0,8cm
Peso líq. aproximado do produto (kg): ;171g
Garantia do Fornecedor: ;12 Meses
Referência do modelo: ;On7 16GB
Fornecedor: ;Samsung
SAC: ;São Paulo: 4004 0000 e outros estados: 0800 124 421



Nome Produto: ;Smartphone Samsung Galaxy J5 Duos Dual Chip Android 5.1 Tela 5" 16GB 4G Wi-Fi Câmera 13MP - Preto
Preco: ;R$ 709,99
Código: ;124132620
Código de barras: ;7892509081610, 7892509081092
Marca: ;Samsung
Cor: ;Preto
Tipo de Chip: ;Micro Chip
Quantidade de Chips: ;Dual Chip
Memória Interna: ;16GB
Memória RAM: ;1.5GB
Processador: ;Qualcomm® Snapdragon¿ 410 Mobile Platform Quad-core 1.2 GHz
Sistema Operacional: ;Android
Tamanho do Display: ;5"
Câmera traseira: ;13MP
Câmera frontal: ;5MP
Filmadora: ;Full HD
Expansivo até: ;MicroSD até 64GB
Alimentação/Tipo de bateria: ;Ions de Lítio 2600 mAh
Banda: ;GSM: 850/900/1800/1900 3G: 850 / 900 / 1900 / 2100 / AWS
Conectividade: ;4G
NFC: ;Não
TV: ;Não
Conteúdo da Embalagem: ;Aparelho, Bateria, Carregador, Fone de ouvido e Cabo USB
Dimensões aproximadas do produto - cm (AxLxP): ;14,2x7,1x0,7cm
Peso líq. aproximado do produto (kg): ;146g
Garantia do Fornecedor: ;12 meses
Referência do modelo: ;SM-J500MZKEZTO
Fornecedor: ;Samsung
SAC: ;São Paulo 4004 0000 Outros Estados 0800 124 421



Nome Produto: ;Smartphone LG X Cam Dual Chip Android 6.0 Marshmallow Tela 5.2" 16GB 4G Câmera 13MP - Rose Gold
Preco: ;R$ 771,59
Código: ;129073331
Código de barras: ;7893299907197
Marca: ;LG
Modelo: ;LG X Cam
Cor: ;Rose Gold
Tipo de Chip: ;Nano Chip
Quantidade de Chips: ;Dual Chip
Memória Interna: ;16GB
Memória RAM: ;2GB
Processador: ;Octa Core 1.1 GHz
Sistema Operacional: ;Android
Versão: ;6
Tipo de tela: ;LCD IPS
Tamanho do Display: ;5.2"
Resolução: ;13MP + 8MP (120º )
Câmera traseira: ;13MP
Câmera frontal: ;8MP
Filmadora: ;Full HD
Expansivo até: ;MicroSD até 2TB
Alimentação/Tipo de bateria: ;2.430 mAh
Banda: ;Download >150 Mbps; Upload 50 Mbps; EDGE Downlink e Uplink; GPRS Downlink e Uplink; Terminal 2G 850/900/1800/1900; Terminal 3G 2100/1900/1800/1700/850/900; Terminal 4G B28, B3, B2, B4, B7; Categoria 4G Cat 4
Conectividade: ;4G
TV: ;Não
Recursos de Chamada: ;Viva Voz
Conteúdo da Embalagem: ;1 Aparelho, 1 bateria, 1 fone de ouvido, 1 carregador de viagem, 1 manual e cabo de dados
Dimensões aproximadas do produto - cm (AxLxP): ;14,7x7,3x6cm
Peso líq. aproximado do produto (kg): ;133g
Garantia do Fornecedor: ;12 Meses
Referência do modelo: ;LGK580DSF.ABRAPG
Fornecedor: ;LG
SAC: ;4004-5400 ou 0800 707-5454



Nome Produto: ;Smartphone LG K10 Dual Chip Android 6.0 Marshmallow Tela 5.3" 16GB 4G Câmera 13MP TV Digital - Dourado
Preco: ;R$ 699,00
Código: ;125768030
Código de barras: ;7893299906381
Marca: ;LG
Modelo: ;LG K10 TV
Cor: ;Dourado
Tipo de Chip: ;Nano Chip
Quantidade de Chips: ;Dual Chip
Memória Interna: ;16GB
Memória RAM: ;1GB
Processador: ;Octacore 1.14 Ghz - Mediatek MT6753
Sistema Operacional: ;Android
