Processador;Snapdragon 430 (MSM8937) Octa-Core (Quad-core 1.4 GHz + Quad-core 1.1 GHz)
Som;Rádio FM
;MP3 Player
Resolução da câmera;Traseira 13MP e Frontal 5MP
Cor;Dourado
Grava vídeo;Sim
Memória interna;32GB Total sendo uma parte usada para o sistema operacional e aplicativos pré-instalados
Características Gerais;- Acabamento metálico - Sensor de impressão digital multifunção - Câmera traseira com Identificação automática de códigos QR, barras e cartão de visita, abertura f/2.0 e Flash LED - Câmera frontal com Lente grande angular de 85 graus, mais amigos na sua selfie, abertura f/2.2 - Resistente a respingos d'água* - Bateria 2800 mAh de carregamento rápido que dura o dia todo***
Quadriband GSM;Sim
Frequências;GSM 850/900/1800/1900 MHz
Câmera traseira;Sim
Câmera frontal;Sim
Tipo do Chip;Nano SIM
Dual Chip;sim
Conectividade;Bluetooth 4.1, Wi-Fi 802.11 a/b/g/n
Resolução do visor/display (pixels);1920x1080 Full HD
Tamanho do visor (cm);12,7
Conteúdo da Embalagem;- Smartphone Moto G5 XT1672 - Kit de manuais - Cabo de sincronização - Fone de ouvido - Carregador de parede - Bateria
Garantia;12 meses
Observações;1.Este é um aparelho desbloqueado e está habilitado para que funcione com operadoras nacionais (Claro, Oi, TIM, Vivo, Porto Seguro Conecta, Sercomtel Celular, Algar Celular), com Tecnologias GSM, 3G e 4G (LTE). Para utilizar este celular é preciso ter um chip (vendido separadamente). 2.Este é um celular Dual Chip, ou seja, funciona com dois chips no mesmo aparelho. 3.A capacidade de memória interna disponível ao usuário é menor que a capacidade especificada (32GB), devido ao sistema operacional e às aplicações padrões que já vem instaladas no aparelho, ocupando parte da memória. A capacidade disponível pode variar ao atualizar o aparelho. * A avançada tecnologia de nanorrevestimento cria uma barreira que repele a água, ajudando a proteger contra exposições moderadas a água, tais como derramamentos, respingos ou chuva leve. Não é projetado para ser submerso na água, nem exposto a água ou outros líquidos aplicados sob pressão. Não é à prova da água. ** A funcionalidade Dual Chip da Motorola sugere ou seleciona automaticamente um chip (SIM) para ligação de voz com base na operadora de seu contato ou histórico de chamadas. O chip selecionado para conexão de dados, ou primário, é automaticamente definido como 3G/4G, de forma a usar a tecnologia mais rápida de conexão de dados, independente do slot em que o SIM card esteja inserido. O chip sem conexão de dados, ou secundário, é automaticamente definido para 2G/3G para chamadas de voz. A coberturae qualidade do sinal dependem de sua área e da operadora provedora dos serviços. ***Todas as informações referentes à duração da bateria são aproximadas e se baseiam em um perfil médio padrão de uso misto. O perfil de uso misto se baseia em dispositivos Motorola, com um cartão SIM, nas principais redes 4G LTE com excelente cobertura e inclui tempos de uso e espera. Configurações padrão de fábrica são aplicadas ao perfil misto para estimativa do desempenho debateria. O desempenho real pode variar dependendo de muitos fatores, incluindo intensidade do sinal, configuração da rede, idadeda bateria, temperatura de operação, recursos selecionados, configurações do dispositivo, serviços de voz, dados e outros padrões de uso de aplicativos. ATENÇÃO: A rede 4G no Brasil é limitada. Consulte uma operadora de telefonia móvel para obter informações de pacotes de dados e cidades de cobertura.
Altura;14,43 Centimetros
Largura;7,28 Centimetros
Profundidade;8,90 Milimetros
Peso;151,00 Gramas
Telefone:;4002-1244 (capitais e regiões metropolitanas) ou 0800 773 1244 demais localidades
Nome Produto: ;Smartphone Samsung Galaxy J5 Duos Preto com Dual chip, Tela 5.0", 4G, Câmera 13MP, Android 5.1 e Processador Quad Core de 1.2 Ghz
Preco: ;709,00
RAM;1.5 GB
Sistema Operacional;Android 5.1 Lollipop
Tipo;Barra
Tecnologia;GSM
;3G
;4G
Slot para cartão;MicroSD até 128GB
Cartão incluso;Não
Rádio FM;Sim
MP3 player;Sim
Bluetooth;Sim
Bluetooth Estéreo (ouça suas músicas em um dispositivo Bluetooth);Não
Wi-Fi;Sim
Visualizador de arquivos;Não
Suporte a GPS;Sim
Mensagens;SMS
;MMS
;E-mail
Toques;Polifônicos
;MP3
Processador;Quad Core de 1.2 Ghz
Som;Rádio FM
;MP3 Player
Resolução da câmera;Traseira 13MP e Frontal 5MP
Cor;Preto
Grava vídeo;Sim
Memória interna;16GB Total sendo uma parte usada para o sistema operacional e aplicativos pré-instalados
Características Gerais;Ideal para Selfies -Tire selfies de alta qualidade com a câmera frontal de 5MP e também registre os melhores momentos com a câmera principal de 13MP.(Ambas com Flash Frontal e Traseira). Processador Quad Core de 1.2 Ghz -Use vários aplicativos ao mesmo tempo com o processador Quad Core de 1.2GHz e não perca agilidade. Tela de 5.0” Super Amoled -Veja vídeos, edite fotos e navegue pelas redes sociais em um display com tamanho ideal para você. A melhor experiência Dual Chip -O Samsung Galaxy J5 Duos suporta 2 Chips no mesmo aparelho. Aproveite o dobro de vantagens, promoções e descontos com os serviços de até duas operadoras de telefonia diferentes.
Quadriband GSM;Sim
Frequências;GSM 850/900/1800/1900 MHz
Câmera traseira;Sim
Câmera frontal;Sim
Tipo do Chip;Micro SIM
Dual Chip;sim
Conectividade;USB 2.0, Bluetooth 4.1, Wi-Fi 802.11 b/g/n 2.4GHz
Resolução do visor/display (pixels);1280 x 720
Tamanho do visor (cm);12,7
Conteúdo da Embalagem;- Aparelho Smartphone Samsung Galaxy J5 Duos SM-J500M/DS - Carregador - Fone de ouvido - Cabo USB
Garantia;12 meses
Observações;1.Para utilizar este celular é preciso ter um chip (vendido separadamente). Este aparelho está habilitado para que funcione com operadoras nacionais com Tecnologia GSM, WCDMA e 4G (LTE) (Vivo, Oi, Tim, Claro, Brasil Telecom, CTBC, Sercomtel, Telemig). 2.Este é um celular Dual Chip, ou seja, funciona com dois chips no mesmo aparelho. 3.O desempenho da bateria pode variar dependendo de diversos fatores como: configuração do celular, da rede, potência do sinal e temperatura de operação. 4. A capacidade de memória interna ROM (Read-Only Memory) disponível ao usuário é menor que a capacidade especificada (16GB), devido ao sistema operacional e às aplicações padrões que já vem instaladas no aparelho, ocupando parte da memória. A capacidade disponível pode variar ao atualizar o aparelho. ATENÇÃO: A rede 4G no Brasil é limitada. Consulte uma operadora de telefonia móvel para obter informações de pacotes de dados e cidades de cobertura.
Altura;14,21 Centimetros
Largura;7,18 Centimetros
Profundidade;7,90 Milimetros
Peso;146,00 Gramas
Nome Produto: ;Smartphone Samsung Galaxy J5 Duos Preto com Dual chip, Tela 5.0", 4G, Câmera 13MP, Android 5.1 e Processador Quad Core de 1.2 Ghz
Preco: ;709,00
RAM;1.5 GB
Sistema Operacional;Android 5.1 Lollipop
Tipo;Barra
Tecnologia;GSM
;3G
;4G
Slot para cartão;MicroSD até 128GB
Cartão incluso;Não
Rádio FM;Sim
MP3 player;Sim
Bluetooth;Sim
Bluetooth Estéreo (ouça suas músicas em um dispositivo Bluetooth);Não
Wi-Fi;Sim
Visualizador de arquivos;Não
Suporte a GPS;Sim
Mensagens;SMS
;MMS
;E-mail
Toques;Polifônicos
;MP3
Processador;Quad Core de 1.2 Ghz
Som;Rádio FM
;MP3 Player
Resolução da câmera;Traseira 13MP e Frontal 5MP
Cor;Preto
Grava vídeo;Sim
Memória interna;16GB Total sendo uma parte usada para o sistema operacional e aplicativos pré-instalados
Características Gerais;Ideal para Selfies -Tire selfies de alta qualidade com a câmera frontal de 5MP e também registre os melhores momentos com a câmera principal de 13MP.(Ambas com Flash Frontal e Traseira). Processador Quad Core de 1.2 Ghz -Use vários aplicativos ao mesmo tempo com o processador Quad Core de 1.2GHz e não perca agilidade. Tela de 5.0” Super Amoled -Veja vídeos, edite fotos e navegue pelas redes sociais em um display com tamanho ideal para você. A melhor experiência Dual Chip -O Samsung Galaxy J5 Duos suporta 2 Chips no mesmo aparelho. Aproveite o dobro de vantagens, promoções e descontos com os serviços de até duas operadoras de telefonia diferentes.
Quadriband GSM;Sim
Frequências;GSM 850/900/1800/1900 MHz
Câmera traseira;Sim
Câmera frontal;Sim
Tipo do Chip;Micro SIM
Dual Chip;sim
Conectividade;USB 2.0, Bluetooth 4.1, Wi-Fi 802.11 b/g/n 2.4GHz
Resolução do visor/display (pixels);1280 x 720
Tamanho do visor (cm);12,7
Conteúdo da Embalagem;- Aparelho Smartphone Samsung Galaxy J5 Duos SM-J500M/DS - Carregador - Fone de ouvido - Cabo USB
Garantia;12 meses
Observações;1.Para utilizar este celular é preciso ter um chip (vendido separadamente). Este aparelho está habilitado para que funcione com operadoras nacionais com Tecnologia GSM, WCDMA e 4G (LTE) (Vivo, Oi, Tim, Claro, Brasil Telecom, CTBC, Sercomtel, Telemig). 2.Este é um celular Dual Chip, ou seja, funciona com dois chips no mesmo aparelho. 3.O desempenho da bateria pode variar dependendo de diversos fatores como: configuração do celular, da rede, potência do sinal e temperatura de operação. 4. A capacidade de memória interna ROM (Read-Only Memory) disponível ao usuário é menor que a capacidade especificada (16GB), devido ao sistema operacional e às aplicações padrões que já vem instaladas no aparelho, ocupando parte da memória. A capacidade disponível pode variar ao atualizar o aparelho. ATENÇÃO: A rede 4G no Brasil é limitada. Consulte uma operadora de telefonia móvel para obter informações de pacotes de dados e cidades de cobertura.
Altura;14,21 Centimetros
Largura;7,18 Centimetros
Profundidade;7,90 Milimetros
Peso;146,00 Gramas
Nome Produto: ;Smartphone LG K4 Indigo com 8GB, Dual Chip, Tela de 4.5", 4G, Android 5.1, Câmera 5MP e Processador Quad Core de 1GHz
Preco: ;429,00
RAM;1GB
Sistema Operacional;Android 5.1 Lollipop
Tipo;Barra
Tecnologia;GSM
;3G
;4G
Slot para cartão;MicroSD até 32GB
Cartão incluso;Não
Rádio FM;Sim
MP3 player;Sim
Bluetooth;Sim
Bluetooth Estéreo (ouça suas músicas em um dispositivo Bluetooth);Não
Wi-Fi;Sim
Visualizador de arquivos;Sim
Suporte a GPS;Sim
Mensagens;SMS
;MMS
;E-mail
Processador;Quad-Core de 1GHz
Som;Rádio FM
;MP3 Player
Resolução da câmera;Traseira 5MP e Frontal 2MP
Cor;Azul
Grava vídeo;Sim
Memória interna;8GB Total sendo uma parte usada para o sistema operacional e aplicativos pré-instalados (Software e aplicativos pré-instalados usam uma quantidade considerável de espaço de memória interna.)
Características Gerais;- Tela de 4.5" com Design Compacto - Android 5.1 Lollipop repleto de novos recursos - Visualização de arquivos (Word, Excel, PPT, PDF) - Youtube, Google Maps, Hangouts, Play Books tudo isso na palma de sua mão
Quadriband GSM;Sim
Frequências;GSM 850/900/1800/1900 MHz
Câmera traseira;Sim
Câmera frontal;Sim
Tipo do Chip;Micro SIM
Dual Chip;sim
Conectividade;USB, Bluetooth 4.0, Wi-Fi 802.11 b/g/n
Resolução do visor/display (pixels);854x480
Tamanho do visor (cm);11,4
Conteúdo da Embalagem;- Aparelho Smartphone LG K4 Indigo - Bateria - Carregador de Viagem - Manual
Garantia;12 Meses
Observações;1.Este é um aparelho desbloqueado e está habilitado para que funcione com operadoras nacionais (Claro, Oi, TIM, Vivo, Porto Seguro Conecta, Sercomtel Celular, Algar Celular), com Tecnologias GSM, 3G e 4G (LTE). Para utilizar este celular é preciso ter um chip (vendido separadamente). 2.Este é um celular Dual Chip, ou seja, funciona com dois chips no mesmo aparelho. 3.O desempenho da bateria pode variar dependendo de diversos fatores como: configuração do celular, da rede, potência do sinal e temperatura de operação. 4. A capacidade de memória interna ROM (Read-Only Memory) disponível ao usuário é menor que a capacidade especificada (8GB), devido ao sistema operacional e às aplicações padrões que já vem instaladas no aparelho, ocupando parte da memória. A capacidade disponível pode variar ao atualizar o aparelho. ATENÇÃO: A rede 4G no Brasil é limitada. Consulte uma operadora de telefonia móvel para obter informações de pacotes de dados e cidades de cobertura.
Altura;13,19 Centimetros
Largura;6,67 Centimetros
Profundidade;8,90 Milimetros
Peso;131,00 Gramas
Telefone:;Para todo o Brasil exceto capitais e regiões metropolitanas: 0800 707 5454 Para capitais e regiões metropolitanas: 4004 5400
E-mail/Site:;www.lge.com/br/index.jsp
Nome Produto: ;Smartphone Motorola Moto G4 Plus XT1640 Preto com 32GB, Tela de 5.5'', Dual Chip, Android 6.0, 4G, Câmera 16MP, Processador Octa-Core e 2GB de RAM
Preco: ;1.099,00
RAM;2GB
Sistema Operacional;Android 6.0 Marshmallow
Tipo;Barra
Tecnologia;GSM
;3G
;4G
Slot para cartão;Micro SD até 128GB
Cartão incluso;Não
Rádio FM;Sim
MP3 player;Sim
Bluetooth;Sim
Bluetooth Estéreo (ouça suas músicas em um dispositivo Bluetooth);Não
Wi-Fi;Sim
Suporte a GPS;Sim
Mensagens;SMS
;MMS
;E-mail
