Conectividade;Bluetooth 5.0; Wi-Fi 802.11 a/b/g/n/ac; NFC; USB (Tipo C); GPS; GLONASS; Beidou
Tipo;Resistente à Água e Poeira (IP68)
Capacidade;3.500 mAh
Tipo;Íons de Lítio (Li-Ion)
Carregamento Sem Fio;Sim
Sensores;Acelerômetro; Bússola; Giroscópio; Barômetro; Proximidade; Luz Ambiente; Proximidade; Impressão Digital; Geo Magnético; Luminosidade; Leitor de Íris; Sensor de pressão; Sensor Hall; Sensor HR
Núcleos;Octa Core
Velocidade (Clock);2.3 GHz
GPU;Octa-core (2.3GHz Quad + 1.7GHz Quad), 64 bit, 10nm processor
Chips;2 Chips
Tipo do Chip;Nano SIM Card
Altura (cm);15.9
Espessura (cm);0.8
Largura (cm);7.3
Peso (g);173.00
Marca;Samsung
Modelo;SM-G955
Nome Produto: ;Smartphone Samsung Galaxy J7 Duos J700M Desbloqueado Branco
Preco: ;R$ 749,90
Plataforma;Android
Versão;Android 5.1 Lollipop
FPS da Gravação;FHD (1920 x 1080) @30fps
Tamanho;5.5"
Resolução;1280 x 720
Tipo;Super AMOLED
Número de Cores;16 milhões de cores
Memória Interna;16 GB
Memória RAM;1.5 GB
Memória Expansível;128 GB
Câmera;13 Megapixels
Recursos;Autofocus; Flash
Câmera Frontal;5 Megapixels
Rede;4G; 3G; 2G
Conectividade;Bluetooth 4.1; Wi-Fi 802.11 a/b/g/n; USB 2.0 (Micro-USB); Conexão P2 (3.5mm); GPS
Capacidade;3.010 mAh
Núcleos;Octa Core
Velocidade (Clock);1.5 GHz
Chips;2 Chips
Tipo do Chip;Micro SIM Card
Altura (cm);15.2
Espessura (cm);0.8
Largura (cm);7.9
Peso (g);171.00
Marca;Samsung
Modelo;SM-J700M
